,reward
0,3.285695171939551e-05
1,-1.8039283151694008e-05
2,1.9062194223096185e-05
3,5.484623901708119e-06
4,1.817678397131317e-05
5,-5.041870867472653e-06
6,0.00026784675744906394
7,0.00017847625127132005
8,0.00034193257254955256
9,0.00035732872751381706
10,0.0012144265469338222
11,0.021965721020471562
12,0.07186483700177604
13,0.09118374682222097
14,0.12690847739275313
15,0.18658376216734496
16,0.26973972356868714
17,0.37656697953128315
18,0.4985629199905972
19,0.6109655516583068
20,0.7066491216827941
21,0.8321252373431243
22,0.9503677555241552
23,1.0682578422404276
24,1.2258367249575741
25,1.379625248591978
26,1.5402509260864328
27,1.7116378642111307
28,1.8999092230281711
29,2.1050043236625626
30,2.269621705409346
31,2.413421270455718
32,2.4721588767434355
33,2.484861166538579
34,2.452600422296154
35,2.467923802533054
36,2.5189064210875323
37,2.690868482451627
38,2.7405088858838766
39,2.829806440172433
40,2.9438978421114825
41,3.0566133206459334
42,3.178865333875258
43,3.303174436357068
44,3.4198813808877127
45,3.520941487978231
46,3.6339765979881378
47,3.748759232057566
48,3.8572006623516586
49,3.9636246092361915
50,4.059694890743195
51,4.122130358086444
52,4.183336571192342
53,4.239978082117339
54,4.28413205026466
55,4.306481262860089
56,4.314742019956697
57,4.30988553019688
58,4.285623683340738
59,4.2376223471652
60,4.175400941299401
61,4.09904913321018
62,4.0028039511292235
63,3.885739062044422
64,3.760365154676748
65,3.6142393642557735
66,3.454187934568189
67,3.290789687288296
68,3.1309415436258803
69,2.9471770161104516
70,2.7667181261522344
71,2.5898388837029174
72,2.4162866279817052
73,2.2434013853620627
74,2.0347306883188665
75,1.8517212145083661
76,1.6891690646548696
77,1.5489892497402735
78,1.424363319770876
79,1.3103468000499063
80,1.2088393692607724
81,1.1250609704434922
82,1.0484825143487342
83,0.9734173325612971
84,0.9145320409102808
85,0.855827948044805
86,0.795723532014776
87,0.7559354064408552
88,0.700763895979577
89,0.6641996633876346
90,0.6169348494586657
91,0.5819310584040949
92,0.5346759237007959
93,0.5027883971133917
94,0.45157043246234707
95,0.4200251170851388
96,0.34528679319954847
97,0.3030352200799413
98,0.24083443779080227
99,0.2103055344777971
100,0.1854749681860568
101,0.16115549556264597
102,0.12995871134954484
103,0.11617878793284575
104,0.10390294572900416
105,0.09223761543889708
