,reward
0,3.489246065413454e-06
1,-5.6731777320351284e-06
2,1.2396766368993895e-05
3,2.42455419474652e-05
4,3.466766264281773e-05
5,5.0959562578611894e-05
6,0.00014896937660324738
7,0.0009565546734968677
8,0.0007785370680934989
9,0.0004011033966655475
10,0.0005346559338725854
11,-0.0014839493599971831
12,0.08800086830911269
13,0.12921958846256132
14,0.1610514488042014
15,0.2316805559916446
16,0.311452533234462
17,0.4064875373539678
18,0.5290718070603972
19,0.6670783580104356
20,0.826897887321909
21,0.9879230099488723
22,1.1711850416049785
23,1.362330822063278
24,1.5781338122954303
25,1.7845243300260805
26,1.9350164056139363
27,2.0438589505262605
28,2.132127091939342
29,2.201322403161079
30,2.2676713404996462
31,2.3281651944806825
32,2.5374521620324586
33,2.6801981581018453
34,2.7745393537604635
35,2.8594682425192275
36,2.9268094946738366
37,2.9883299899652727
38,3.041720579518028
39,3.078873546457679
40,3.1015055221229026
41,3.122423696370582
42,3.1184539101862008
43,3.223803811969699
44,3.331174063285811
45,3.449116268445529
46,3.5713809633283944
47,3.686092599091957
48,3.79425306772319
49,3.896270410016953
50,3.98781127191679
51,4.055222948977786
52,4.083438292373565
53,4.116356358256326
54,4.153263981563491
55,4.175750700819023
56,4.181575511607072
57,4.172469005476209
58,4.144899610634383
59,4.090267312712363
60,4.020401284444226
61,3.937459735330968
62,3.838443742148989
63,3.7240532582147523
64,3.590674238940501
65,3.4341185571331323
66,3.2853778275595857
67,3.1320786822216817
68,2.9791498360182445
69,2.8079203483963866
70,2.639441100899731
71,2.4816741343554938
72,2.3225857006297446
73,2.162797311432314
74,1.9965181970810875
75,1.8336165771235002
76,1.67432867903063
77,1.5231092465415585
78,1.3788358523158806
79,1.2346814717221832
80,1.1071146112609398
81,1.016608427143666
82,0.9400379283668769
83,0.8452109317570233
84,0.779483360019384
85,0.7215156143197632
86,0.6917320615746547
87,0.6441017937960325
88,0.6147305922008783
89,0.5750225254388042
90,0.5519444611793745
91,0.4644186749522561
92,0.4159536645133599
93,0.3887963257698601
94,0.34312955556210056
95,0.3423577917534715
96,0.290459676225332
97,0.2855406789662496
98,0.25482296129968773
99,0.25448146017780005
100,0.2091375090933667
101,0.20886289272866065
102,0.19852924311443587
103,0.1812305044210305
104,0.14708560475121146
105,0.142880152051994
106,0.14844588597544117
107,0.13872507557177727
108,0.11932001300120731
109,0.09746125640280212
110,0.08983026753014656
111,0.08952031110819547
112,0.0775085155456523
113,0.07231958322428511
114,0.05924393879858769
115,0.05102701138770982
116,0.046933140189366895
117,0.045987858358529365
118,0.042174526345100105
119,0.04061333875668538
120,0.03613927873310274
121,0.03404757788018742
122,0.03298630990663298
123,0.025548524273268924
124,0.019467553709127117
125,0.017017962475378567
126,0.016164072342661484
127,0.014940079731040612
128,0.012470026053712502
129,0.00919515448426722
130,0.004202914839694927
131,0.00208312894592666
132,-0.0003530635915893754
133,-0.003227914902339535
134,-0.005779096869389377
135,-0.0072595463261748705
136,-0.009189021854538737
137,-0.0062936737165841805
138,-0.005302783029179636
139,-0.004666437070177665
140,-0.0025610461538150275
141,-0.0018419848030859498
142,-0.0016549280299571478
143,-0.0009160998498103368
144,-0.000886449661194888
145,-0.0017220938766016047
146,-0.00048421622313554735
147,0.0011499644103452056
148,0.0016756131755713
149,0.008208474092228357
150,0.02147104542668643
151,0.04029751470191911
152,0.05677465622756728
153,0.07543001160222218
154,0.10273363567332439
155,0.13622239181689366
156,0.17711886128211063
157,0.2258011661708892
158,0.29333326651684644
159,0.35758975698158224
160,0.3563946739670598
161,0.3304979822488008
162,0.3005874773111472
163,0.2676540776560543
164,0.23439123903653325
165,0.20493147080841823
166,0.16431548411883767
167,0.12080642133380337
168,0.08947113262635753
169,0.03892057902028512
170,-0.02626046297599771
171,-0.0856592112766208
172,-0.1151848995611715
173,-0.01100374251905123
174,0.11182143200777261
175,0.207555863463611
176,0.3136949026099245
177,0.47043806849874414
178,0.6188209884447105
179,0.7229608558828815
180,0.8444163054928566
181,0.9798011374126503
182,1.1205220821591055
183,1.2752867914420207
184,1.4389021593336437
185,1.6030331533737652
186,1.7666771427827044
187,1.9402543408909168
188,2.1213746268303524
189,2.2836160831902674
190,2.4333394425973154
191,2.4765729818524207
192,2.4771010807304705
193,2.46228393410469
194,2.4403152484632074
195,2.422816777519259
196,2.4798808013918716
197,2.6353239477635526
198,2.718376954866244
199,2.77581339378429
200,2.8719490220917265
201,2.986369956082058
202,3.0997813407540065
203,3.2127924505988403
204,3.3515534353471566
205,3.496689427698243
206,3.655634223992479
207,3.790367632002969
208,3.87999594597332
209,3.93963536808279
210,4.000823821370574
