,reward
0,-7.629624008131941e-06
1,-4.254050733010217e-05
2,3.78377290033427e-05
3,1.6777407552126533e-05
4,8.883608634491225e-05
5,-6.380522542315248e-05
6,-0.00010436827617255062
7,-0.0005731426652921812
8,-0.0010627870114277016
9,-0.001153012306893686
10,-0.0009748973350021117
11,-0.0007032216144864378
12,-0.0010186139249235282
13,-0.0007615012660977527
14,-0.0008886466397584059
15,-0.00020632719104796138
16,-0.00044527904847768696
17,-0.0003769854311741483
18,-0.0007493015865023267
19,-0.0011352032868749973
20,-0.001193229491285308
21,-0.0008212156865106124
22,-0.0008726727644692289
23,-0.0009021173900691792
24,-0.001004297294660006
25,-0.0010398171527015165
26,-0.0010859541425922714
27,-0.0010634840430157055
28,-0.001757912668516326
29,-0.0014892340053407338
30,-0.00207423104297888
31,-0.0018145313029371835
32,-0.0021945596456873773
33,-0.0019862650064439435
34,-0.0017736137797541573
35,-0.0029811667179124868
36,-0.0018748725846151615
37,-0.0029859473085736
38,-0.002557035428729648
39,-0.0025541374499660208
40,-0.002582130194355159
41,-0.0014216596011529248
42,-0.0018491974774903497
43,-0.0020312807882838513
44,-0.0027505138371353155
45,-0.0024364440019830624
46,-0.0019159156043890846
47,-0.002023379656979074
48,-0.0019956478474902895
49,-0.0010529816615267862
50,0.00020212941329589285
51,0.002053434742599336
52,0.005452484400887414
53,0.008873441494383627
54,0.015408055731569448
55,0.02587397957274362
56,0.03867227134456641
57,0.052412591615507154
58,0.06547278050321736
59,0.08575264637370239
60,0.11460386042799087
61,0.146501914047672
62,0.18335150267922984
63,0.22807426763279182
64,0.280135431742643
65,0.34207637043301986
66,0.41775863444263095
67,0.5035265014351964
68,0.5956087908944063
69,0.6842408852559778
70,0.8200718934532247
71,0.9595164031003378
72,1.0999242651982932
73,1.2695768244179995
74,1.467134215019179
75,1.654439500054643
76,1.8798299145683828
77,2.1094990165535776
78,2.3158797151093857
79,2.5359790736499477
80,2.781413768054364
81,3.0215651942539345
82,3.2485834213713716
83,3.493398559995935
84,3.689255632422306
85,3.8661790155626896
86,4.068629049768866
87,4.269915995736859
88,4.451894254509856
89,4.617841038310697
90,4.7620870960845885
91,4.882295924421847
92,4.978355764046434
93,5.049166182376368
94,5.072255010474542
95,5.075473458347588
96,5.049278422409387
97,4.990046430794557
98,4.949219554898292
99,4.880073246663912
100,4.803660032904347
101,4.762326131510584
102,4.724821254226015
103,3.863973120968005
104,1.9299114765954783
105,1.6169451645177446
106,1.6360486749027814
107,1.5834430194747995
108,1.6020229464883684
109,1.8993111112763117
110,2.047066137460156
111,2.2038902591940257
112,2.3440854304127967
113,2.5039934530871477
114,2.677737603094954
115,2.8449669670715494
116,3.0121927768541923
117,3.173874500737597
118,3.283333985021848
119,3.4203288097545936
120,3.558571762201659
121,3.6906165457112294
122,3.774367202361937
123,3.83266833085127
124,3.827272014091072
125,3.7816051276735863
126,3.718768147482159
127,3.6421339995767
128,3.550858312230112
129,3.4525817513905466
130,3.327107075763678
131,3.198346884466652
132,3.061519520567373
133,2.920453586054599
134,2.7665876176408233
135,2.6068290732504806
136,2.4604517506526236
137,2.315086290044235
138,2.1710060497026262
139,2.0201491996386522
140,1.8292335795489123
141,1.6728055458540325
142,1.5139241979689189
143,1.3821183685725202
144,1.2797663513139668
145,1.1716006939563783
146,1.0796195897079741
147,0.994482342021783
148,0.9340011565040385
149,0.8575661799993384
150,0.8024789828952805
151,0.753057769732095
152,0.7078725280425147
153,0.6737865419612632
154,0.6244078522168195
155,0.5985500070208616
156,0.5603611796485808
157,0.5382914157254248
158,0.5006309610303816
159,0.47451904396140776
160,0.4475834575911364
161,0.41562420270373934
162,0.3889993567866412
163,0.35051064219665307
164,0.3314044465013666
165,0.2864661409677183
166,0.26704978176212535
167,0.22276314547582388
168,0.19830385478144308
169,0.16694368809126559
170,0.13689192520438098
171,0.1243342106999279
172,0.09371256132517658
173,0.07711475999322204
174,0.06679980615757586
175,0.05338846308951872
176,0.03460095774180161
177,0.029852809184518492
178,0.024194570643985003
179,0.010794568017331585
180,0.008192151367083511
181,0.0016436945411157922
182,-0.009737712030926104
183,-0.011316370599416814
184,-0.009470336773347299
185,-0.01238359562222513
186,-0.01476386490359971
187,-0.023973363715157348
188,-0.022554232580418443
189,-0.02073575766608826
190,-0.0201587028057304
191,-0.026527784535730348
192,-0.023948472001791288
193,-0.02336251664296185
194,-0.022119645311562408
195,-0.025871034697075856
196,-0.019478340574110575
197,-0.016650760158185562
198,-0.01620858015726867
199,-0.008193421847053628
200,-0.004439356018295371
201,0.0016177227332292432
202,0.012661781671070571
203,0.02109929737216021
204,0.034560103727727665
205,0.0505845520969217
206,0.06828212709315551
207,0.08298780988098997
208,0.10366506693138433
209,0.1297329065702968
210,0.16201681042232963
211,0.19249753641645384
212,0.23126528689573433
213,0.26951556078088856
214,0.3146273116340126
215,0.3437456502006597
216,0.3855983930734652
217,0.42427451425282925
218,0.4453696995977907
219,0.4822405944842245
220,0.5108584877028477
221,0.5513249616414129
222,0.5913959506845146
223,0.622232925115469
224,0.6647811714567098
225,0.7186128285329829
226,0.7676117058251464
227,0.8241991486640643
228,0.8813819509937559
229,0.9570067602002297
230,1.034262653751128
231,1.1343413430953575
232,1.2123575558219812
233,1.3361873820919357
234,1.44931608853895
235,1.5992983136253258
236,1.7725180147485275
237,1.9301628756808498
238,2.0626637154829552
239,2.2673057917465655
240,2.4927516296174446
241,2.728378389639019
242,2.934060722633234
243,3.158248256953655
244,3.422074157852535
245,3.683349984448938
246,3.9609225404468873
247,4.209874749326659
248,4.364101559907851
249,4.476652469968556
250,4.562278665592316
251,4.632453818942466
252,4.619373885316804
253,4.636132252118941
254,4.665439348742666
255,4.632303414144516
256,4.5958044323700165
257,4.573433301765704
258,4.535756123293169
259,4.508690477410653
260,4.485043189212163
261,4.342109190644905
262,2.4391937654726803
263,1.7989301328714902
264,1.5769815933271047
265,1.3988763577188479
266,1.328922674543307
267,1.3106154334778353
268,1.4065104627457004
269,1.6845083627488577
270,1.8033294978988579
271,1.9658503835842822
272,2.1393691336907494
273,2.3037025415870716
274,2.443970152700885
275,2.6195062315202478
276,2.802813032800131
277,2.9751342954436666
278,3.1464442145377802
279,3.3133947112754214
280,3.476697289361752
281,3.618547241264949
282,3.7511769902010883
283,3.8477129233905316
284,3.9369622160737805
285,3.9624845393186803
286,3.9063252114362257
287,3.827021597868523
288,3.7361160203834487
289,3.6176362221217317
290,3.468892235431227
291,3.334699477371359
292,3.195586610465
293,3.048594954436652
294,2.8816800969362077
295,2.727351859521079
296,2.578258278520238
297,2.4278907363419933
298,2.2754401540586144
299,2.1229063585508356
300,1.9235888119663969
301,1.75369894747611
302,1.6056787125582872
303,1.471235919917504
304,1.35490249865029
305,1.2509834548725252
306,1.1621497910113732
307,1.065708996392658
308,0.9984731660129142
309,0.9294118983250854
310,0.8571474133449897
311,0.8117866803890195
312,0.7466906116160743
313,0.7080814743641639
314,0.6532359526921994
315,0.6269221853015239
316,0.5782469850854
317,0.5516574843494482
318,0.5123569226795865
319,0.4836560824868741
320,0.4421010240177736
321,0.4153082564895527
322,0.372219085894514
323,0.3489489712907812
324,0.2996052814130934
325,0.2794702800829896
326,0.2355219171179357
327,0.20317090871962762
328,0.1756994318148486
329,0.1405811878745311
330,0.128664711668236
331,0.09754008639376366
332,0.0785493743403265
333,0.0678704321808965
334,0.05569367818402782
335,0.03305064216242215
336,0.029697638984984565
337,0.020792006155616605
338,0.01432200093006486
339,0.008649935485252058
340,0.005863715029761352
341,-0.008097628302721205
342,-0.012370744507137488
343,-0.011438550855942253
344,-0.011224752137763971
345,-0.01008577579604264
346,-0.013840758225569516
347,-0.02429209524052567
348,-0.024575958396368947
349,-0.020823925576962665
350,-0.01737012938939131
351,-0.03058777766135279
352,-0.028293942092858515
353,-0.022616756224493884
354,-0.018570234465116187
355,-0.02499819124686553
356,-0.022493692829996803
357,-0.013750130278751271
358,-0.016651995232948025
359,-0.01059864879998429
360,-0.006442634144150361
361,-0.0021955130039685855
362,0.00843990603826228
363,0.014057481437532715
364,0.023501709464497367
365,0.036681354938465915
366,0.053341827599950875
367,0.06791415901346909
368,0.08763409367240627
369,0.11315387363659113
370,0.1420313562449138
371,0.17002073966750686
372,0.21458484673757994
373,0.24573385153473737
374,0.2773745557463059
375,0.3156975379930316
376,0.3533636832899134
377,0.3858258465190545
378,0.4145786412897223
379,0.4536227920931424
380,0.4817308581138491
381,0.5257763280568639
382,0.5715831326639886
383,0.6223407375980372
384,0.6681071086250512
385,0.7018136594033564
386,0.7624378865505577
387,0.819198026729353
388,0.8980269429147825
389,0.9813642817665169
390,1.083043583221368
391,1.1979453572320153
392,1.3161894050694656
393,1.4613525561398433
394,1.6042644356805624
395,1.7668781606954553
396,1.9426802617378058
397,2.1196196008432366
398,2.3315533851851455
399,2.5664694721306347
400,2.825135151991134
401,3.1042576222202456
402,3.3917876494761146
403,3.664561114676701
404,3.978356447135525
405,4.280453599176255
406,4.530701556879677
407,4.728765689089585
408,4.8696181358745605
409,4.963396034322898
410,5.015887379856281
411,5.064381287808288
412,5.069583479124873
413,5.041422083835698
414,4.98493332927751
415,4.947080926374099
416,4.914069572895556
417,4.880032600498652
418,4.843903339866387
419,4.771718422910709
420,3.341714229036228
421,2.005947240745485
422,1.7068532059850838
423,1.6192875192939482
424,1.5722652540085846
425,1.553369351333913
426,1.7772503864162559
427,1.9129751544622309
428,2.056409870846636
429,2.1752636255179425
430,2.3086517536476947
431,2.4683787792675105
432,2.6420976028408916
433,2.8107314264640593
434,2.9546700855490826
435,3.0708386959760503
436,3.1824055977635624
437,3.3201125225910744
438,3.4572220562824896
439,3.5802074028413244
440,3.692234946799857
441,3.783693510346069
442,3.7681486846372536
443,3.712449105329796
444,3.6432422982409207
445,3.5538881998091654
446,3.462757903401581
447,3.359325437853329
448,3.2314080893715413
449,3.10953088103588
450,2.962612058263545
451,2.820176775194767
452,2.6709334701691034
453,2.534487647274233
454,2.3973846731580295
455,2.258406473108323
456,2.1216310391406523
457,1.9785842303872414
458,1.7983643133356964
459,1.6364487743724965
460,1.490817272949272
461,1.3657382805142504
462,1.2623486183017008
463,1.1622564799100132
464,1.074960214226337
465,0.9964070527760782
466,0.9412221573211355
467,0.8790430049818099
468,0.8236973246071955
