,mag_x,mag_y,mag_z
0,0.27604398131370544,-0.30000001192092896,0
1,0.5359409749507904,-0.04497098922729492,0
2,0.8059364259243011,-0.080990731716156,0
3,1.0843147337436676,-0.07901362399570644,0
4,1.3843147456645966,-0.36394748906604946,0
5,1.606251135468483,-0.6639475009869784,0
6,1.8840583711862564,-0.9639475129079074,0
7,2.1840583831071854,-1.2249265990685672,0
8,2.4201652705669403,-1.5249266109894961,0
9,2.7127727270126343,-1.824926622910425,0
10,3.0127727389335632,-2.059695505304262,0
11,3.2419129723887634,-2.343074962406763,0
12,3.3711138317692204,-2.1530423900272475,0
13,3.568659516460713,-1.8068395766017493,0
14,3.626865951254281,-1.686962765336681,0
15,3.70953857666604,-1.4964369509693658,0
16,3.731000993406265,-1.4420927803721455,0
17,3.7119992106556254,-1.4903227368902383,0
18,3.6837280699500377,-1.5588930388779623,0
19,3.7174677908004554,-1.4766290070160417,0
20,3.7112713629314817,-1.4921343339943303,0
21,3.7488449176288,-1.3950490255072447,0
22,3.7662051475873057,-1.3474786774887693,0
23,3.7475525949673916,-1.3985169101420167,0
24,3.7822043410372834,-1.3018948969247612,0
25,3.819006839368393,-1.1896162241905741,0
26,3.8637193417371973,-1.0352163292210383,0
27,3.862914214079167,-1.0382166318573107,0
28,3.8837585171906226,-0.9572981667951196,0
29,3.8938927586708254,-0.9152044492739905,0
30,3.9210712709685875,-0.7906959516683909,0
31,3.9351725609437547,-0.7172286355098876,0
32,3.949456781581673,-0.6338699633351783,0
33,3.9486326032594627,-0.6389840095623665,0
34,3.9616643475757525,-0.5524632088629831,0
35,3.981398981182587,-0.3853078673453968,0
36,3.985843681299946,-0.3362293090158852,0
37,3.9844234809865426,-0.3526606359704545,0
38,3.9856528310378194,-0.3384841361721657,0
39,3.9664554712313915,-0.5169438990244106,0
40,3.9765225671920184,-0.4327450434292716,0
41,3.976560143323962,-0.4323996143931107,0
42,3.976830862751555,-0.42990265068585715,0
43,3.981533549644015,-0.38391482526614346,0
44,3.9842087235509998,-0.3550786492878851,0
45,3.968433909426392,-0.5015299657196569,0
46,3.9730869988413877,-0.46322748152234555,0
47,3.982317769569962,-0.3756929360093433,0
48,3.9826978019597594,-0.37164259479357226,0
49,3.9904923950247926,-0.2756273666552241,0
50,3.9942524864932962,-0.21435268634221336,0
51,3.999999643303876,0.0016892509775854082,0
52,3.9999987641342116,-0.0031443480690896966,0
53,3.9995793094850955,-0.058011612102459115,0
54,3.9942378870038793,0.2146245606233866,0
55,3.782076912262897,0.5146245725443156,0
56,3.6349364838390157,0.8146245844652446,0
57,3.4630302510051534,1.1146245963861734,0
58,3.1630302390842244,1.3770124979307443,0
59,2.8971286437301442,1.6770125098516733,0
60,2.5971286318092153,1.8944809652855188,0
61,2.3348563632755086,2.1944809772064477,0
62,2.055120053031902,2.4944809891273767,0
63,1.755120041110973,2.746019206195095,0
64,1.4855452499179647,3.046019218116024,0
65,1.1855452379970357,2.8011630244543344,0
66,0.8855452260761068,2.824533852933863,0
67,0.6174212417392537,2.847905437647322,0
68,0.36430260751531574,2.825702785699585,0
69,0.06430259559438678,2.607855617253998,0
70,-0.23569741632654218,2.593495525605002,0
71,-0.5356974282474711,2.420650251395026,0
72,-0.7921188452453807,2.272124760038176,0
73,-0.6996558734388545,2.074933745152274,0
74,-0.5098107137890056,1.7822904961173922,0
75,-0.2098107018680766,1.521649606711188,0
76,0.09018931005285236,1.2446526365344912,0
77,0.3901893219737813,0.9581664877002627,0
78,0.6901893338947103,0.6963794009750277,0
79,0.9901893458156392,0.473342664725104,0
80,1.2901893577365682,0.18566975761107507,0
81,1.5832183382301137,-0.11433025430985388,0
82,1.8792030832557485,-0.41433026623078284,0
83,2.145398738124828,-0.7143302781517118,0
84,2.445398750045757,-0.9992813391620725,0
85,2.745398761966686,-1.2374614549810499,0
86,2.928883286455135,-1.5374614669019788,0
87,3.228883298376064,-1.8104550017053693,0
88,3.4203684823711575,-2.0739043962540866,0
89,3.610575045357857,-1.7215539032627205,0
90,3.7092179851367972,-1.497231424575945,0
91,3.8319103214296866,-1.1473723408382457,0
92,3.870996920190847,-1.0076620682912407,0
93,3.898932771686214,-0.8934893630431516,0
94,3.90715452985812,-0.8568217316391885,0
95,3.9099019943728313,-0.8441957085885674,0
96,3.9489977958517475,-0.6367231803209615,0
97,3.951499847522358,-0.6210064049837042,0
98,3.96458685602173,-0.5310847964870886,0
99,3.9708984690517224,-0.48162781115991204,0
100,3.9668437282718565,-0.513956063754713,0
101,3.966963689608582,-0.5130293220928617,0
102,3.978075831986164,-0.41822562686615905,0
103,3.98152371928439,-0.38401676106102073,0
104,3.9831895874296874,-0.36633415154980153,0
105,3.9896903352121473,-0.2870035350214016,0
106,3.990542369974693,-0.27490288000811863,0
