,mag_x,mag_y,mag_z
0,0.29679787158966064,-0.30000001192092896,0
1,0.4630551040172577,-0.6000000238418579,0
2,0.6950400024652481,-0.9000000357627869,0
3,0.9950400143861771,-1.1777178049087524,0
4,1.2780233174562454,-1.4777178168296814,0
5,1.5294990092515945,-1.7777178287506104,0
6,1.8294990211725235,-2.051142990589142,0
7,2.1294990330934525,-2.2932426184415817,0
8,2.3521973192691803,-2.5932426303625107,0
9,2.599469244480133,-2.8932426422834396,0
10,2.8193736523389816,-3.1932426542043686,0
11,3.025998741388321,-3.4932426661252975,0
12,3.3149811923503876,-3.7932426780462265,0
13,3.6149812042713165,-4.028729557991028,0
14,3.9091639518737793,-4.328729569911957,0
15,4.209163963794708,-4.559301316738129,0
16,4.509163975715637,-4.793895959854126,0
17,4.809163987636566,-5.06588876247406,0
18,5.034821167588234,-5.365888774394989,0
19,5.228055417537689,-5.665888786315918,0
20,5.455298081040382,-5.965888798236847,0
21,5.755298092961311,-6.247690290212631,0
22,6.05529810488224,-6.48979614675045,0
23,6.32522813975811,-6.789796158671379,0
24,6.592878773808479,-7.089796170592308,0
25,6.809078290341431,-7.323691202938652,0
26,6.88647095610509,-7.250966678362343,0
27,6.939339104306784,-7.200386989283195,0
28,6.984496230887892,-7.15659223378787,0
29,6.9338776044740085,-7.205646491896046,0
30,7.003820807975254,-7.1376812824455005,0
31,7.134011811513059,-7.007558453069954,0
32,7.137434432418822,-7.004072367053484,0
33,7.1015904890081005,-7.040412809376286,0
34,7.0819507989058765,-7.060168049124357,0
35,7.04168411012594,-7.10032991439129,0
36,7.0805341702300515,-7.061588763458592,0
37,7.0721998827029875,-7.069935559755539,0
38,7.115863247083977,-7.025986781143235,0
39,7.1395781512514125,-7.001887161485358,0
40,7.159585667641385,-6.981427724162448,0
41,7.095465451502132,-7.046585699935795,0
42,7.047244674278287,-7.0948109559632595,0
43,7.050978321102515,-7.0911003881867565,0
44,6.897474830392506,-7.240500049313021,0
45,6.896021260075123,-7.2418844771642075,0
46,6.650751524919063,-7.467764334376572,0
47,6.353192946882287,-7.722495670421911,0
48,6.023104928447537,-7.982619057734809,0
49,5.772043493901195,-8.165997422514465,0
50,5.428348182206261,-8.398394847394231,0
51,5.242284465379154,-8.515776745784521,0
52,5.024115364322866,-8.646286185754837,0
53,4.669491222384572,-8.842841835296696,0
54,4.50565453194015,-8.927433967205088,0
55,4.181394263437672,-9.083828598872312,0
56,3.8221984337956005,-9.240714211179265,0
57,3.4632849548887075,-9.38113305103608,0
58,3.2029332260758694,-9.473184192725233,0
59,2.8644315748314324,-9.580972380354131,0
60,2.5120979700134853,-9.67932661857498,0
61,2.332753797441337,-9.724107142587593,0
62,1.9920144765732772,-9.79958562007203,0
63,1.6683019675351518,-9.859856416049798,0
64,1.3924764256163056,-9.902575897416936,0
65,1.1606217414300986,-9.93241950248376,0
66,0.8950002481959197,-9.959868199716764,0
67,0.5939497989342004,-9.982345597921663,0
68,0.3357379595781745,-9.994362412004993,0
69,0.07280447449440576,-9.999734971912686,0
70,-0.16756858360657756,-9.998595939920168,0
71,-0.4670583318834386,-9.989086870911589,0
72,-0.7648116500553267,-9.97071026256102,0
73,-1.0588259701298326,-9.943786379693533,0
74,-1.3464523356506084,-9.908938697349026,0
75,-1.4768619322006111,-9.890342705549525,0
76,-1.743386379261999,-9.846857566381457,0
77,-2.002017410968676,-9.797546952486538,0
78,-2.2433441150300646,-9.745122225070345,0
79,-2.4648719122366614,-9.691460491394823,0
80,-2.667004304628182,-9.637794770542417,0
81,-2.9647565955923088,-9.337794758621488,0
82,-3.2647566075132377,-9.194117225948606,0
83,-3.5647566194341667,-8.908150799814496,0
84,-3.8603038365648277,-8.608150787893567,0
85,-4.076996001105119,-8.308150775972639,0
86,-4.348217758040239,-8.00815076405171,0
87,-4.558929475645829,-7.708150752130781,0
88,-4.858929487566758,-7.436881460491453,0
89,-5.158929499487687,-7.153551526609693,0
90,-5.215957122545053,-6.853551514688764,0
91,-5.504345195989419,-6.553551502767835,0
92,-5.20434518406849,-6.253551490846906,0
93,-5.4187271172807705,-5.953551478925977,0
94,-5.693676161269952,-5.7133404242432455,0
95,-5.393676149349023,-5.4133404123223166,0
96,-5.618715616564561,-5.113340400401388,0
97,-5.369405927758027,-4.8640299218333105,0
98,-5.5466436619565975,-4.5640299099123816,0
99,-5.246643650035669,-4.264029897991453,0
100,-5.5466436619565975,-4.01950643235806,0
101,-5.246643650035669,-3.7195064204371313,0
102,-5.531479852895547,-3.4195064085162024,0
103,-5.231479840974618,-3.1195063965952734,0
104,-5.523532050351907,-2.8195063846743444,0
105,-5.223532038430978,-2.5195063727534155,0
106,-4.9781865800426495,-2.272298105303083,0
107,-5.278186591963578,-2.10104278499249,0
