,reward
0,-0.0001794393140386319
1,-0.0023448907818668374
2,0.003890694440773501
3,0.0024062608451203005
4,-0.0006918233852104549
5,0.0036136082049864626
6,-0.0006668746766180789
7,0.00383919750476025
8,-0.0499302596890594
9,-0.10358408620332327
10,-0.08277151718962372
11,-0.039694199097297655
12,-0.02908550583406111
13,-0.026542434797303116
14,-0.02784134562290319
15,-0.033959415984323726
16,-0.04838192769701877
17,-0.02447012096101986
18,-0.01404549343975603
19,-0.024885976866215742
20,-0.060293989568034334
21,-0.09721770065674207
22,-0.1572166521795637
23,-0.173297140048998
24,-0.15313187499517156
25,-0.22362801470803717
26,-0.24777720805088777
27,-0.2359163374289075
28,-0.28597897383887627
29,-0.3958664282185964
30,-0.41386278797945764
31,-0.3493161123618549
32,-0.3265582014454971
33,-0.2705504047919227
34,-0.24728022667256155
35,-0.24232811555997102
36,-0.23018004972410466
37,-0.21000480603637683
38,-0.18325533216968282
39,-0.21586075561556228
40,-0.2647703234886123
41,-0.280306078222754
42,-0.2833517046408396
43,-0.3111481490681811
44,-0.31313547807830133
45,-0.29726184327596883
46,-0.278443151934038
47,-0.2581292687201575
48,-0.29077451457739656
49,-0.30110091371666314
50,-0.2871228150746319
51,-0.29737445574626875
52,-0.3109008112293843
53,-0.3151746602311434
54,-0.3313975175159811
55,-0.39613227885377356
56,-0.4387183391436089
57,-0.4139157449509945
58,-0.3820217532423875
59,-0.3695706435608592
60,-0.34051916959926487
61,-0.31797108182919587
62,-0.3151255706352529
63,-0.3196390718499309
64,-0.29774846258854737
65,-0.2998248264173853
66,-0.3155713502834523
67,-0.339304523356887
68,-0.34740306612677685
69,-0.38763540300402965
70,-0.4388514040726754
71,-0.45389076080530444
72,-0.4470098734691419
73,-0.44899145852642874
74,-0.44315730415039667
75,-0.44037273915481734
76,-0.4530058546684579
77,-0.47370517685951796
78,-0.49065411381752355
79,-0.48029940149804773
80,-0.4739791159261486
81,-0.45224372063469964
82,-0.40788193157237806
83,-0.4285321900367034
84,-0.44512954829622586
85,-0.4525788435008238
86,-0.45822337726151297
87,-0.46451688704538974
88,-0.5041930633721758
89,-0.5003101977412161
90,-0.47146721695015437
91,-0.38667431067441527
92,-0.3279206164669368
93,-0.2922677463289336
94,-0.2797356001585438
95,-0.27168840752334944
96,-0.299178516992491
97,-0.32743695072447565
98,-0.3307876868284687
99,-0.3348308115692866
100,-0.27760757814948356
101,-0.2381349447086567
102,-0.20737652758835878
103,-0.16985426224251476
104,-0.1724907407629317
105,-0.23550101447270322
106,-0.2616061043823681
107,-0.2933095308562983
108,-0.3253407333766489
109,-0.3691382972668489
110,-0.38966341512661984
111,-0.4156753421188242
112,-0.42699106837265965
113,-0.43824128713470856
114,-0.4649120651429506
115,-0.4646676614863132
116,-0.47437533278992916
117,-0.442276790150542
118,-0.41341378303560994
119,-0.37975344414639345
120,-0.3106314385738784
121,-0.2856984846763577
122,-0.27491045017500326
123,-0.26606121104336466
124,-0.25317531747737654
125,-0.2624455686429972
126,-0.2938287308322174
127,-0.32653849155806824
128,-0.38770963290165383
129,-0.40888272857172225
130,-0.4137646497854064
131,-0.4621160312919059
132,-0.4826059607985389
133,-0.47767570750714583
134,-0.4935533282805782
135,-0.5060681332181982
136,-0.5350363350944498
137,-0.578259958673204
138,-0.6530312353565115
139,-0.7655993495556412
140,-0.8788067784568288
141,-0.9567160679275588
142,-1.03707409040517
143,-1.1125452279250947
144,-1.1833258885128206
145,-1.2273555921673474
146,-1.3095452141076969
147,-1.4087300903077082
148,-1.5288222682405017
149,-1.6504876339460672
150,-1.7618507168447106
151,-1.8737220318392733
152,-2.0221520336722376
153,-2.146471662221079
154,-2.257928108172531
155,-2.400481342192573
156,-2.5627885607024448
157,-2.666038145060803
158,-2.759614152994412
159,-2.8683533261221372
160,-2.953089259095245
161,-2.9870674999092417
162,-2.989352804057832
163,-2.975200907995288
164,-2.94305403626695
165,-2.9446070941552382
166,-2.942701235984664
167,-2.8773152181573325
168,-2.7923526048406453
169,-2.7251270014002547
170,-2.7020886218276985
171,-2.6864768866711763
172,-2.6528290689412515
173,-2.588512197833701
174,-2.495191204486087
175,-2.394701198147584
176,-2.307799912137125
177,-2.236443366041101
178,-2.213342384612993
179,-2.1630490981307515
180,-2.112533804913239
181,-2.066925592555391
182,-1.9772451357987064
183,-1.8626265233856332
184,-1.7395136934874245
185,-1.623914743924475
186,-1.5026440754065362
187,-1.3985951143530784
188,-1.3470680248282108
189,-1.2832562836730776
190,-1.2190596381778107
191,-1.1598596664467387
192,-1.1000167552919216
193,-1.0476316904458205
194,-0.9676690907632945
195,-0.8946987377887616
196,-0.8048243507717245
197,-0.6953586466870298
198,-0.6130769598902397
199,-0.5787244542395165
200,-0.49961281854272066
201,-0.430560065538268
202,-0.369945196697925
203,-0.3188224618302282
204,-0.26538294004826213
205,-0.17605368378091235
206,-0.10286891175271151
207,-0.06091468915951914
208,-0.09630051922138172
209,-0.12020905612463828
210,-0.15453237444817525
211,-0.16685830996646445
212,-0.19357269688424772
213,-0.16560098275854251
214,-0.12924031294016203
215,-0.11773818729432506
216,-0.12789604338342642
217,-0.0809253936856269
218,-0.053127449131533666
219,-0.05595539648150627
220,-0.07466825153350065
221,-0.051342001006355886
222,-0.000522899295898327
223,0.04123867114731894
224,0.0755155548291242
225,0.08173430335853382
226,0.05649075733774822
227,0.05321142254945066
228,0.0400960834924291
229,0.007795196642552682
230,-0.01974251429928131
231,-0.020428257356579493
232,-0.0357181312307997
233,-0.08007829310327175
234,-0.07688371161702179
235,-0.06565348128871662
236,-0.08061394643799957
237,-0.05987878081199938
238,-0.08193940992040183
239,-0.12400222449764797
240,-0.1411453566138654
241,-0.19617772797661637
242,-0.2601569107921886
243,-0.28940851960467917
244,-0.27696806917145267
245,-0.2981121537437481
246,-0.2799053640751481
247,-0.2862171544130909
248,-0.27409373196908504
249,-0.30513456935929106
250,-0.344184145627775
251,-0.3348349708148657
252,-0.3396349662100562
253,-0.3391216590421653
254,-0.362841921161392
255,-0.32018873252256164
256,-0.27122528354969866
257,-0.25529819169406665
258,-0.2054467852819375
259,-0.14787277566361112
260,-0.1302762909880606
261,-0.09828008656819875
262,-0.04742532325459514
263,-0.016472067364547982
264,-0.04068397011316449
265,-0.03281991827206454
266,-0.04599317990167329
267,-0.0531048403080181
268,-0.08304614431110302
269,-0.07822967627070021
270,-0.06989318912419051
271,-0.06320273471655646
272,-0.034422174544559425
273,-0.011837973321382478
274,-0.04454850240114716
275,-0.02628281238143515
276,-0.026114321535661844
277,-0.09051023725596963
278,-0.12586202273349834
279,-0.1321832694296443
280,-0.14336532419757297
281,-0.13386602519445567
282,-0.1191642814466487
283,-0.0992081245984533
284,-0.1155052639798182
285,-0.0963363483695101
286,-0.09445923317790594
287,-0.0808626595023565
288,-0.10122024800303109
289,-0.12591781242745625
290,-0.11141130351644435
291,-0.1324098303802579
292,-0.1573953032252895
293,-0.19858382638117789
294,-0.23219647036807345
295,-0.26282229385724776
296,-0.24662524345826498
297,-0.24386563952544904
298,-0.22147875419010532
299,-0.15960277079647867
300,-0.17046316078133117
301,-0.17190426643968415
302,-0.1749470544322751
303,-0.20598791410965767
304,-0.19152822045424678
305,-0.21141218188241773
306,-0.18227281612853474
307,-0.18613016639051239
308,-0.14006576910024826
309,-0.12775297286427012
310,-0.10445933190960766
311,-0.0869593789682721
312,-0.07382001323583687
313,-0.0717132050491287
314,-0.044388500995218294
315,0.0010702663518635802
316,0.01274137239306583
317,0.03397377970287607
318,0.035657835703890584
319,0.0208259798063537
320,0.008033955831248107
321,-0.004569636692446366
322,0.03504836058718652
323,0.05264866932011891
324,0.03298033209453877
325,0.00929313669170817
326,-0.003942007625976629
327,-0.013940421135592018
328,-0.045210962817261446
329,-0.04435831749365349
330,-0.028690994438234085
331,-0.04518625577797586
332,-0.03955542545716284
333,-0.0172978067316798
334,-0.031249198406397838
335,-0.019630138820927456
336,-0.023669667194115007
337,-0.01964784009123477
338,-0.019823519259789535
339,-0.047448419652162954
340,-0.0306441429071036
341,-0.015924949978431968
342,-0.006918444918708744
343,0.019704428483562353
344,0.035676623988578626
345,0.04130933286560001
346,0.036810435877407954
347,0.05610275313005175
348,0.06854415586231788
349,0.07188584692957356
350,0.07199583217858851
351,0.09480526750131446
352,0.08087940141742855
353,0.06550987137598163
354,0.026527382276038125
355,0.05510247360131615
356,0.08081799218055963
357,0.06529902199612359
358,0.04434735433057391
359,0.013017185441963619
360,-0.014149758968731163
361,-0.02520540890641243
362,-0.043667065062038546
363,-0.04229399930312461
364,-0.05719395842196384
365,-0.07181219141622286
366,-0.061729625614797
367,-0.0852576308868791
368,-0.09071686299232162
369,-0.05916092919540539
370,-0.04687004999934352
371,-0.05185924979730139
372,-0.05685886428548059
373,-0.07135246984280919
374,-0.09058503201473833
375,-0.09744571051996331
376,-0.09858408208613945
377,-0.09264240190569595
378,-0.07343795713510737
379,-0.049332717243144586
380,-0.023052883811987
381,-0.0076230640529662
382,0.008583187149984184
383,0.005016848286754083
384,-0.050805333017152066
385,-0.044189717461353695
386,-0.027244919935780487
387,-0.02477719850710436
388,-0.04588587168314007
389,-0.043975776622300344
390,-0.030638661605220108
391,-0.01970199299726083
392,-0.008587037028791045
393,-0.0004745741254552627
394,-0.016700023890328097
395,3.317071096908819e-05
396,0.0054944928691114114
397,-0.03959125214073822
398,-0.05852472804354747
399,-0.021257286263809405
400,-0.053845515946466804
401,-0.06743225529843855
402,-0.1023171407607748
403,-0.11749312327051342
404,-0.11616972744127096
405,-0.10792952792389343
406,-0.09945077243439293
407,-0.12623375091197708
408,-0.12865598684541624
409,-0.1157837823215857
410,-0.10344152952241004
411,-0.13577775456298902
412,-0.13654097177115077
413,-0.11848521081039287
414,-0.1264735170030118
415,-0.08290814117160039
416,-0.11542323164515977
417,-0.13501422520207917
418,-0.11244907680226568
419,-0.0893307143898614
420,-0.07526508540035337
421,-0.08138037494963335
422,-0.10131187098069816
423,-0.07385922389095079
424,-0.07089179767161724
425,-0.04401660373266836
426,-0.0260580498915175
427,-0.013695278485217344
428,-0.03603865125896277
429,-0.039739975693358076
430,-0.03412092737176131
431,-0.05219111164997514
432,-0.07367280504308127
433,-0.08711163714426817
434,-0.09153480187499063
435,-0.07742055071282117
436,-0.05675166335939785
437,-0.06109912571095499
438,-0.044986207917050436
439,-0.04650519179575596
440,-0.05146140862209769
441,-0.0399731292844141
442,-0.03813929437770369
443,-0.03891123626133641
444,-0.024802671107391205
445,-0.005218521465222281
446,-0.019358323991980342
447,-0.02894214974129561
448,-0.015249907512648875
449,-0.01424120895762826
450,-0.02564881938664776
451,-0.0028476520168840835
452,0.0006250917331396266
453,-0.02792626516944452
454,-0.05001243146038448
455,-0.03031406160274308
456,-0.022769445386092713
457,-0.01224348379854412
458,-0.017329187436541105
459,-0.017858468166398467
460,-0.00792824563969674
461,0.02004182637508123
462,0.013585061509520102
463,-0.019554176377987176
464,-0.017276587936621013
465,-0.01222484343326613
466,-0.0178244104668579
467,-0.025265018521754
468,-0.02004601813764495
469,-0.015557648064863372
470,-0.021550334908679858
471,-0.00302577840634477
472,0.013118269087177836
473,0.004409202679953594
474,0.007173706969245686
475,0.006334875779998583
476,-0.000870092292011293
477,-0.0012438493944788576
478,-0.010088623963149246
479,-0.014414186211544333
480,-0.005988922823956244
481,-0.018463206505154872
482,-0.046590938081809696
483,-0.050148491658932315
484,-0.07010605893331245
485,-0.07706942212986512
486,-0.07979189958420285
487,-0.061945009401354056
488,-0.07209649201351809
489,-0.05644403865368908
490,-0.053976809747871
491,-0.05124722813206972
492,-0.05418265282911783
493,-0.04275256644032943
494,-0.034304130609976724
495,-0.05412261934762519
496,-0.06601151979626074
497,-0.06514462242617647
498,-0.052661506190085916
499,-0.024681501732510824
500,-0.019433196297935496
501,0.002648710481452099
502,0.013763597446754261
503,0.021483624688602987
504,0.0021241155302931247
505,0.017773694556124653
506,0.011848590017207172
507,0.017617640734304274
508,0.054257084414963686
509,0.06757294672775416
510,0.07487825089731892
511,0.06632302249963473
512,0.07431388266839534
513,0.06975973346207809
514,0.07396248893647872
515,0.06447229725357495
516,0.09827995816824142
517,0.10795809282692304
518,0.08745660971003488
519,0.10097605062943771
520,0.09981203714527709
521,0.07640711858666549
522,0.06774777522137398
523,0.08213424171068517
524,0.060822688192034846
525,0.07171899658977132
526,0.06104736156628654
527,0.07708344954197699
528,0.0619789610598076
529,0.039926007303749955
530,0.026795968418555915
531,0.012972758713374333
532,0.016159763788969883
533,-0.011472084541646055
534,-0.03995605060017837
535,-0.03786266605665389
536,-0.037760070648378274
537,-0.045444098033193825
538,-0.07416755492296367
539,-0.05105117675426207
540,-0.07276536690699942
541,-0.0673856270440698
542,-0.08178614096914671
543,-0.07555269864983671
544,-0.05906637625062494
545,-0.05911544412646741
546,-0.0894969947562263
547,-0.08861148980970235
548,-0.10098477585464671
549,-0.10020243283528352
550,-0.10062749907839397
551,-0.10440896351261664
552,-0.08779033654324309
553,-0.08120581661996695
554,-0.09984412630258177
555,-0.10305526274850152
556,-0.09348492027821287
557,-0.0981246484150411
558,-0.06740458288033935
559,-0.06963129446763361
560,-0.07637024370104939
561,-0.05987802424208155
562,-0.05515318610296305
563,-0.03708933310212714
564,-0.039877816625235596
565,-0.05211666909177737
566,-0.0525822422949318
567,-0.024791792392004908
568,-0.006457176330982861
569,-0.019582867467615728
570,0.0014125740272064036
571,0.0010064022124645078
572,-0.025068230245359757
573,-0.010274463646737786
574,-0.013806408935952419
575,-0.018891595132348726
576,-0.014403013014714361
577,-0.009861807002948808
578,-0.029761900049045664
579,-0.034074731868773966
580,-0.03554085129012563
581,-0.01215021422408924
582,-0.015563682039765325
583,-0.011879103335274976
584,-0.028296808400316564
585,-0.025513994479453572
586,-0.01159359894716161
587,-0.0023949282967272723
588,-0.0003061526033576456
589,-0.017850454702124097
590,-0.008570528816118639
591,0.004752496164197595
592,-0.004315600458326685
593,-0.005708272095219513
594,0.013853833606862764
595,0.00012388127853313335
596,0.0056891994400842805
597,0.02142889253189395
598,0.03809631973588523
