,mag_x,mag_y,mag_z
0,-0.30000001192092896,-0.30000001192092896,0
1,-0.6000000238418579,-0.6000000238418579,0
2,-0.3198416829109192,-0.9000000357627869,0
3,-0.019841670989990234,-1.1434366703033447,0
4,-0.1537764072418213,-1.4434366822242737,0
5,-0.4351261556148529,-1.7247864305973053,0
6,-0.7351261675357819,-2.0247864425182343,0
7,-1.0098711550235748,-2.2995427548885345,0
8,-0.7877079993486404,-2.5995427668094635,0
9,-1.0113658010959625,-2.8995427787303925,0
10,-0.7113657891750336,-3.1694124042987823,0
11,-0.5972660779953003,-3.4694124162197113,0
12,-0.845003604888916,-3.4102949164807796,0
13,-1.145003616809845,-3.436240943148732,0
14,-1.445003628730774,-3.497209405526519,0
15,-1.7334119826321568,-3.6048970718270525,0
16,-1.9118261551584623,-3.513533940700162,0
17,-1.6164050825619845,-3.6588570085571512,0
18,-1.4537087176157,-3.726490435292719,0
19,-1.1333668337673308,-3.8360760706894506,0
20,-1.1387584484395554,-3.834478999304539,0
21,-0.9041435739716841,-3.8964758946573386,0
22,-1.0064791651931204,-3.8713046496022705,0
23,-0.6974520229427202,-3.9387257680236014,0
24,-0.8517926360930993,-3.908253997003978,0
25,-0.6057919022555188,-3.9538609195521333,0
26,-0.6246343984651347,-3.9509279755842295,0
27,-0.44354302814681645,-3.9753326379288505,0
28,-0.5015026927327825,-3.9684373560863686,0
29,-0.46467555685866385,-3.972917898328393,0
30,-0.41169159579948145,-3.97875734745763,0
31,-0.5479093935912268,-3.9622967198853867,0
32,-0.5280325176710821,-3.964994534710223,0
33,-0.6161297045181995,-3.952263172817609,0
34,-0.5006234003577722,-3.9685483757936253,0
35,-0.6247864931037705,-3.9509039267027353,0
36,-0.5092167533489353,-3.9674548892342516,0
37,-0.5291787889297606,-3.964841713025481,0
38,-0.5416477982754175,-3.963157536942405,0
39,-0.5304229733015824,-3.9646754557458936,0
40,-0.5431179601580952,-3.9629563309925215,0
41,-0.6415637961938007,-3.9482142666544076,0
42,-0.5057743852273453,-3.9678951940856373,0
43,-0.5192716740069975,-3.96615140010741,0
44,-0.5811863294839487,-3.95755258340568,0
45,-0.6496921578229058,-3.946884860249082,0
46,-0.6384119125413653,-3.948725139829978,0
47,-0.5132113992640963,-3.9669401381499805,0
48,-0.5828883594776076,-3.9573022579006403,0
49,-0.435160950992355,-3.9762589134425625,0
50,-0.57040418886284,-3.9591209960454257,0
51,-0.3866319279143745,-3.9812706203318076,0
52,-0.30003926112205376,-3.9887311819406093,0
53,-0.2292920328008413,-3.99342273791469,0
54,0.0606258029760991,-3.999540537613477,0
55,0.35916907253431885,-3.9838420622980064,0
56,0.6591690844552478,-3.6838420503770775,0
57,0.946722633268114,-3.3962759845888084,0
58,1.1496292865531406,-3.193342986050791,0
59,1.4223590410010776,-2.920485379639811,0
60,1.6983577227847537,-2.643756511155314,0
61,1.9709816193835696,-2.3639557086860603,0
62,2.2422919488208253,-2.0714691900646156,0
63,2.420696533347841,-1.8529274337922996,0
64,2.5458656913297135,-1.5529274218713707,0
65,2.6248917421953637,-1.2529274099504417,0
66,2.536744660760637,-1.00142784649486,0
